""
20,SK,"275,500","

				19,500
				
","

				+7.62%
				
",200,"193,843","70,360",21.31,"829,329",103.18,1.11,
""
""
""
21,SK이노베이션,"209,000","

				1,500
				
","

				+0.72%
				
","5,000","193,253","92,466",22.61,"461,377",-9.01,-13.58,
22,신한지주,"36,550","

				700
				
","

				+1.95%
				
","5,000","188,817","516,600",59.85,"2,800,781",5.42,8.20,
23,삼성생명,"77,200","

				1,600
				
","

				+2.12%
				
",500,"154,400","200,000",12.73,"377,652",12.20,3.53,
24,LG,"89,200","

				1,200
				
","

				+1.36%
				
","5,000","153,921","172,557",35.16,"371,001",10.70,7.50,
25,아모레퍼시픽,"258,000","

				1,500
				
","

				-0.58%
				
",500,"150,823","58,458",33.20,"209,479",506.88,0.78,
""
""
""
26,한국전력,"23,250","

				150
				
","

				+0.65%
				
","5,000","149,257","641,964",16.61,"1,810,525",7.50,2.91,
27,삼성에스디에스,"186,500","

				2,500
				
","

				+1.36%
				
",500,"144,310","77,378",12.24,"121,232",32.54,6.71,
28,삼성전기,"186,500","

				500
				
","

				-0.27%
				
","5,000","139,304","74,694",34.93,"349,400",23.96,10.92,
29,하나금융지주,"40,750","
0
","
0.00%
","5,000","122,349","300,242",68.40,"1,288,596",4.64,8.96,
30,포스코케미칼,"146,000","

				500
				
","

				-0.34%
				
",500,"113,096","77,463",7.12,"188,197",316.70,2.96,
""
""
""
31,HMM,"34,150","

				4,700
				
","

				+15.96%
				
","5,000","112,955","330,763",11.38,"53,734,502",88.93,8.93,
32,KT&G,"80,400","

				100
				
","

				-0.12%
				
","5,000","110,383","137,292",39.84,"338,784",9.42,13.22,
33,넷마블,"126,000","
0
","
0.00%
",100,"108,285","85,940",23.66,"168,622",34.55,6.35,
34,롯데케미칼,"304,500","

				3,000
				
","

				-0.98%
				
","5,000","104,369","34,275",26.17,"206,477",65.87,1.22,
35,SK바이오사이언스,"132,000","

				4,000
				
","

				-2.94%
				
",500,"100,980","76,500",3.29,"1,121,184",302.06,6.50,
""
""
""
36,한온시스템,"18,750","

				1,200
				
","

				+6.84%
				
",100,"100,088","533,800",19.47,"6,047,497",90.58,5.09,
37,대한항공,"28,050","

				1,250
				
","

				+4.66%
				
","5,000","97,564","347,821",10.82,"4,691,713",-23.67,-7.22,
38,한국조선해양,"132,000","

				13,500
				
","

				+11.39%
				
","5,000","93,421","70,773",17.10,"1,920,091",-11.20,-7.42,
39,S-Oil,"81,300","

				2,100
				
","

				+2.65%
				
","2,500","91,530","112,583",75.83,"433,119",-11.91,-13.07,
40,한화솔루션,"47,700","

				300
				
","

				-0.62%
				
","5,000","91,240","191,278",17.15,"2,522,503",25.88,5.30,
""
""
""
41,삼성화재,"186,000","

				2,500
				
","

				-1.33%
				
",500,"88,117","47,375",46.21,"125,307",12.46,4.96,
42,빅히트,"242,000","

				6,500
				
","

				+2.76%
				
",500,"86,209","35,624",7.88,"394,262",N/A,12.52,
43,SK바이오팜,"104,000","

				500
				
","

				-0.48%
				
",500,"81,446","78,313",9.02,"298,588",-30.21,-135.18,
44,LG디스플레이,"21,950","

				50
				
","

				+0.23%
				
","5,000","78,541","357,816",23.82,"1,464,854",-87.80,-0.79,
45,고려아연,"405,500","

				4,500
				
","

				+1.12%
				
","5,000","76,518","18,870",22.27,"34,629",13.36,8.37,
""
""
""
46,KT,"28,300","

				450
				
","

				+1.62%
				
","5,000","73,895","261,112",42.94,"1,672,971",11.23,4.76,
47,현대글로비스,"196,500","

				6,000
				
","

				+3.15%
				
",500,"73,688","37,500",33.30,"216,796",12.16,12.45,
48,금호석유,"239,000","

				13,500
				
","

				+5.99%
				
","5,000","72,818","30,468",26.51,"1,287,742",13.73,20.18,
49,우리금융지주,"10,000","

				20
				
","

				+0.20%
				
","5,000","72,227","722,268",25.58,"2,002,617",5.52,5.87,
50,기업은행,"9,030","
0
","
0.00%
","5,000","66,701","738,664",11.67,"1,478,572",4.61,7.36,
""
""
""
